event_year,event_month,event_dow,event_hour,event_type,division,apprehension_made,hood_140
2014,January,Wednesday,1,Person in Crisis,D14,Yes,129
2014,August,Thursday,4,Overdose,D31,Yes,32
2014,August,Monday,6,Person in Crisis,D14,Yes,41
2014,April,Tuesday,9,Person in Crisis,D33,No,97
2015,June,Friday,14,Person in Crisis,D51,No,55
2015,June,Sunday,12,Overdose,D55,No,16
2015,June,Saturday,1,Person in Crisis,D12,No,19
2014,August,Wednesday,4,Suicide-related,D41,No,132
2015,September,Monday,3,Overdose,D14,No,87
2014,April,Tuesday,1,Suicide-related,D41,No,120
2015,September,Friday,0,Person in Crisis,D14,Yes,98
2014,September,Friday,10,Suicide-related,D52,Yes,20
2015,April,Thursday,14,Overdose,D43,Yes,64
2014,February,Friday,12,Overdose,D51,No,59
2014,December,Sunday,16,Suicide-related,D23,Yes,130
2015,November,Tuesday,22,Suicide-related,D55,No,39
2015,January,Thursday,16,Overdose,D43,No,100
2014,July,Saturday,13,Overdose,D41,Yes,114
2015,March,Thursday,22,Suicide-related,D53,No,8
2015,February,Sunday,9,Overdose,D14,No,89
2015,November,Tuesday,10,Suicide-related,D11,No,27
2015,February,Friday,15,Overdose,D32,No,56
2014,June,Monday,2,Person in Crisis,D33,No,104
2014,March,Wednesday,3,Suicide-related,D14,No,72
2015,January,Tuesday,21,Suicide-related,D14,Yes,3
2015,June,Friday,12,Person in Crisis,D55,No,59
2014,June,Wednesday,15,Person in Crisis,D13,Yes,10
2015,April,Friday,2,Person in Crisis,D31,No,92
2014,May,Friday,18,Overdose,D22,No,115
2014,November,Monday,0,Overdose,D13,No,74
2015,June,Saturday,7,Suicide-related,D54,Yes,41
2014,June,Tuesday,1,Person in Crisis,D51,No,97
2014,October,Tuesday,15,Overdose,D33,No,29
2015,February,Thursday,5,Person in Crisis,D23,No,13
2015,May,Monday,13,Overdose,D32,Yes,25
2014,September,Friday,7,Person in Crisis,D11,No,64
2015,December,Friday,2,Person in Crisis,D53,Yes,108
2014,April,Friday,1,Overdose,D54,No,64
2014,April,Tuesday,17,Person in Crisis,D23,No,66
2015,April,Monday,18,Suicide-related,D23,No,76
2015,April,Tuesday,18,Suicide-related,D54,Yes,18
2015,April,Saturday,22,Person in Crisis,D23,No,55
2015,November,Thursday,2,Suicide-related,D55,No,86
2015,May,Friday,7,Person in Crisis,D13,No,54
2015,May,Thursday,13,Suicide-related,D52,Yes,55
2015,July,Sunday,21,Suicide-related,D23,No,13
2015,April,Friday,12,Suicide-related,D42,Yes,38
2015,July,Tuesday,2,Person in Crisis,D41,No,98
2014,February,Thursday,16,Overdose,D53,Yes,64
2014,February,Monday,20,Overdose,D55,No,113
2014,October,Tuesday,0,Person in Crisis,D11,No,14
2014,March,Tuesday,11,Person in Crisis,D42,No,22
2015,May,Thursday,22,Overdose,D23,No,128
2015,January,Monday,6,Suicide-related,D11,No,95
2015,February,Monday,23,Overdose,D51,No,80
2015,December,Thursday,6,Suicide-related,D41,No,133
2014,September,Thursday,8,Person in Crisis,D55,No,127
2014,September,Thursday,17,Suicide-related,D52,No,30
2015,January,Tuesday,21,Suicide-related,D42,Yes,51
2014,November,Sunday,8,Overdose,D42,Yes,105
2014,February,Sunday,20,Person in Crisis,D55,No,102
2014,August,Thursday,1,Overdose,D43,No,80
2015,February,Saturday,18,Suicide-related,D43,Yes,19
2014,February,Friday,9,Overdose,D13,No,15
2014,May,Friday,18,Person in Crisis,D43,No,14
2015,May,Sunday,22,Person in Crisis,D22,No,4
2015,December,Saturday,23,Suicide-related,D55,No,58
2014,August,Tuesday,23,Person in Crisis,D11,No,53
2014,November,Saturday,8,Person in Crisis,D55,No,136
2015,July,Monday,11,Overdose,D33,No,7
2015,August,Saturday,21,Suicide-related,D54,No,112
2015,March,Wednesday,8,Overdose,D14,Yes,25
2015,March,Tuesday,9,Overdose,D31,No,1
2015,August,Saturday,10,Overdose,D12,Yes,4
2014,April,Wednesday,22,Person in Crisis,D33,No,57
2015,June,Sunday,22,Suicide-related,D52,No,89
2014,January,Saturday,21,Person in Crisis,D23,No,16
2014,December,Monday,7,Person in Crisis,D22,No,59
2014,June,Saturday,23,Suicide-related,D14,No,37
2015,May,Wednesday,6,Overdose,D54,Yes,140
2015,September,Monday,14,Suicide-related,D55,No,41
2015,April,Wednesday,17,Suicide-related,D52,Yes,119
2015,October,Tuesday,17,Suicide-related,D13,No,130
2015,January,Saturday,17,Overdose,D51,Yes,116
2015,February,Tuesday,10,Suicide-related,D55,No,104
2014,October,Sunday,13,Overdose,D22,No,54
2014,December,Saturday,10,Suicide-related,D41,No,63
2015,February,Sunday,22,Suicide-related,D22,No,98
2014,April,Sunday,16,Suicide-related,D43,No,30
2015,October,Saturday,18,Overdose,D14,No,5
2014,August,Friday,2,Suicide-related,D53,No,128
2014,February,Tuesday,0,Overdose,D13,Yes,130
2015,May,Thursday,15,Suicide-related,D41,No,123
2014,August,Tuesday,4,Overdose,D55,No,33
2015,October,Tuesday,4,Person in Crisis,D43,No,96
2014,June,Friday,11,Person in Crisis,D13,No,60
2014,December,Friday,17,Person in Crisis,D54,No,110
2014,January,Friday,12,Suicide-related,D22,No,33
2014,September,Thursday,0,Person in Crisis,D32,No,105
2014,August,Wednesday,7,Overdose,D22,No,29
2015,November,Sunday,4,Overdose,D13,No,6
2014,June,Tuesday,3,Person in Crisis,D12,No,119
2014,September,Saturday,8,Suicide-related,D33,Yes,17
2014,April,Thursday,1,Suicide-related,D32,No,96
2015,September,Friday,4,Overdose,D31,No,33
2014,December,Wednesday,17,Person in Crisis,D53,No,104
2015,March,Tuesday,15,Suicide-related,D12,No,12
2014,February,Friday,17,Suicide-related,D51,No,105
2014,March,Sunday,14,Overdose,D52,No,109
2014,January,Sunday,0,Suicide-related,D14,No,23
2015,July,Monday,16,Person in Crisis,D13,No,75
2014,February,Sunday,2,Overdose,D55,No,125
2015,September,Wednesday,13,Overdose,D31,Yes,76
2015,February,Thursday,1,Suicide-related,D11,No,89
2015,October,Sunday,16,Suicide-related,D11,Yes,86
2015,January,Tuesday,0,Suicide-related,D55,Yes,76
2014,October,Saturday,19,Person in Crisis,D31,Yes,20
2014,March,Monday,12,Suicide-related,D54,No,36
2014,August,Tuesday,22,Person in Crisis,D55,No,16
2014,October,Thursday,12,Suicide-related,D23,No,25
2014,August,Tuesday,1,Suicide-related,D23,Yes,82
2014,February,Thursday,12,Suicide-related,D31,No,56
2014,April,Saturday,14,Overdose,D13,No,5
2014,October,Saturday,16,Suicide-related,D22,No,118
2014,December,Friday,7,Person in Crisis,D33,Yes,77
2014,September,Tuesday,2,Overdose,D31,No,136
2015,October,Tuesday,7,Overdose,D32,Yes,86
2015,December,Sunday,4,Person in Crisis,D54,Yes,128
2015,December,Thursday,14,Overdose,D23,No,116
2015,April,Monday,22,Overdose,D11,No,45
2014,November,Tuesday,17,Person in Crisis,D22,Yes,119
2014,June,Sunday,4,Suicide-related,D11,No,18
2015,October,Saturday,23,Person in Crisis,D54,No,39
2014,August,Monday,16,Person in Crisis,D42,No,37
2014,June,Sunday,3,Suicide-related,D41,No,98
2014,September,Sunday,5,Person in Crisis,D32,No,84
2014,December,Saturday,22,Overdose,D32,No,65
2015,November,Saturday,9,Person in Crisis,D54,No,71
2014,February,Saturday,12,Suicide-related,D22,No,13
2015,August,Wednesday,0,Suicide-related,D53,No,99
2014,May,Monday,4,Person in Crisis,D14,No,54
2015,May,Saturday,7,Person in Crisis,D32,No,89
2015,December,Thursday,17,Suicide-related,D14,No,20
2015,July,Wednesday,22,Person in Crisis,D43,Yes,84
