event_year,event_month,event_dow,event_hour,event_type,division,apprehension_made,hood_140
2014,January,Wednesday,4,Suicide-related,D51,No,71
2014,January,Wednesday,10,Person in Crisis,D51,No,73
2014,January,Wednesday,23,Suicide-related,D52,No,78
2014,January,Wednesday,16,Suicide-related,D54,No,58
2014,January,Wednesday,13,Person in Crisis,D11,No,93
2014,January,Wednesday,6,Overdose,D53,No,95
2014,January,Wednesday,12,Person in Crisis,D52,No,78
2014,January,Wednesday,16,Suicide-related,D41,No,123
2014,January,Wednesday,9,Suicide-related,D51,No,75
2014,January,Wednesday,16,Person in Crisis,D31,No,25
2014,January,Wednesday,1,Person in Crisis,D51,No,73
2014,January,Wednesday,13,Suicide-related,D12,No,110
2014,January,Wednesday,10,Person in Crisis,D53,No,104
2014,January,Wednesday,3,Overdose,D11,No,88
2014,January,Wednesday,1,Suicide-related,D53,No,95
2014,January,Wednesday,1,Suicide-related,D51,Yes,71
2014,January,Wednesday,4,Person in Crisis,D54,No,54
2014,January,Wednesday,11,Person in Crisis,D32,No,37
2014,January,Wednesday,6,Overdose,D43,Yes,136
2014,January,Wednesday,1,Suicide-related,D32,No,37
2014,January,Wednesday,10,Overdose,D53,No,98
2014,January,Wednesday,4,Overdose,D14,No,79
2014,January,Wednesday,9,Person in Crisis,D22,No,14
2014,January,Wednesday,12,Person in Crisis,D53,No,97
2014,January,Wednesday,0,Suicide-related,D11,No,88
2014,January,Wednesday,16,Person in Crisis,D22,No,17
2014,January,Wednesday,19,Suicide-related,D23,No,6
2014,January,Wednesday,15,Suicide-related,D14,No,79
2014,January,Wednesday,12,Person in Crisis,D51,No,74
2014,January,Wednesday,0,Suicide-related,D23,Yes,7
2014,January,Wednesday,5,Suicide-related,D43,No,136
2014,January,Wednesday,8,Person in Crisis,D32,No,51
2014,January,Wednesday,4,Suicide-related,D32,No,36
2014,January,Wednesday,15,Suicide-related,D43,No,134
2014,January,Wednesday,20,Person in Crisis,D51,No,73
2014,January,Wednesday,11,Person in Crisis,D14,No,84
2014,January,Wednesday,2,Suicide-related,D51,No,75
2014,January,Wednesday,2,Person in Crisis,D41,No,124
2014,January,Wednesday,16,Suicide-related,D54,No,59
2014,January,Wednesday,7,Person in Crisis,D32,No,39
2014,January,Wednesday,22,Overdose,D22,No,14
2014,January,Wednesday,16,Person in Crisis,D23,Yes,2
2014,January,Wednesday,14,Person in Crisis,D33,No,48
2014,January,Wednesday,20,Person in Crisis,D13,No,31
2014,January,Wednesday,2,Suicide-related,D43,No,134
2014,January,Wednesday,5,Suicide-related,D32,No,36
2014,January,Wednesday,23,Overdose,D22,No,14
